"first","second","n"
"of","the",38419
"in","the",36288
"for","the",20500
"to","the",20384
"on","the",19382
"to","be",17918
"at","the",13473
"and","the",12173
"i","have",12061
"i","was",11305
"and","i",11250
"is","a",11143
"in","a",10953
"i","am",10632
"it","was",10491
"it","is",9979
"for","a",9801
"with","the",9712
"if","you",9533
"going","to",9142
"have","a",8932
"is","the",8395
"to","get",8267
"will","be",8200
"from","the",7793
"that","i",7596
"want","to",7558
"with","a",7452
"of","a",7235
"one","of",7142
"have","to",7100
"this","is",7003
"but","i",6747
"thanks","for",6622
"all","the",6346
"of","my",6179
"you","are",6018
"you","can",6017
"out","of",5973
"as","a",5952
"in","my",5941
"thank","you",5800
"was","a",5752
"when","i",5589
"need","to",5423
"and","a",5393
"by","the",5332
"that","the",5332
"a","great",5296
"you","have",5255
"be","a",5167
"on","a",5140
"the","same",5137
"the","first",5027
"a","few",4970
"a","lot",4955
"we","are",4797
"the","best",4742
"have","been",4684
"so","i",4620
"would","be",4474
"do","you",4399
"had","a",4344
"on","my",4265
"they","are",4241
"so","much",4232
"there","is",4197
"are","you",4194
"about","the",4176
"that","is",4132
"like","a",4112
"is","not",3893
"if","i",3804
"has","been",3741
"we","have",3614
"into","the",3608
"for","me",3576
"there","are",3540
"back","to",3491
"all","of",3446
"as","the",3427
"when","you",3362
"he","was",3347
"trying","to",3322
"im","not",3277
"what","i",3228
"its","a",3219
"go","to",3147
"as","well",3119
"right","now",3104
"time","to",3104
"lot","of",3089
"able","to",3049
"me","to",2993
"some","of",2972
"part","of",2957
"with","my",2942
"was","the",2929
"way","to",2921
"over","the",2900
"at","least",2898
"more","than",2876
"can","be",2848
"cant","wait",2808
"had","to",2674
"should","be",2656
"up","to",2627
"but","the",2614
"love","you",2538
"get","a",2516
"kind","of",2511
"be","the",2485
"but","it",2479
"how","to",2479
"he","is",2442
"like","the",2441
"like","to",2431
"me","and",2385
"dont","know",2374
"has","a",2373
"it","to",2330
"are","the",2313
"at","a",2302
"what","you",2298
"not","a",2266
"me","i",2230
"wanted","to",2222
"its","not",2184
"forward","to",2181
"we","can",2176
"such","a",2168
"they","were",2161
"out","the",2138
"see","you",2131
"up","the",2089
"my","life",2072
"last","night",2067
"up","and",2057
"what","is",2043
"this","week",2040
"ive","been",2038
"do","it",2015
"not","to",2006
"which","is",2004
"know","what",1999
"this","year",1977
"because","i",1975
"there","was",1974
"make","it",1967
"would","have",1958
"about","it",1953
"through","the",1953
"let","me",1943
"do","not",1932
"when","the",1925
"get","to",1902
"from","a",1898
"out","to",1888
"did","you",1872
"time","i",1872
"make","a",1829
"see","the",1829
"follow","me",1822
"she","was",1796
"got","a",1793
"now","i",1785
"they","have",1773
"used","to",1765
"into","a",1757
"end","of",1753
"dont","have",1750
"try","to",1750
"just","a",1730
"know","that",1724
"most","of",1722
"looking","for",1705
"love","to",1704
"wait","to",1697
"lots","of",1693
"look","at",1674
"check","out",1664
"feel","like",1661
"not","the",1637
"so","many",1634
"hope","you",1632
"im","going",1631
"get","the",1621
"off","the",1587
"ready","to",1582
"by","a",1571
"are","not",1567
"could","be",1563
"ill","be",1552
"take","a",1551
"around","the",1550
"be","in",1547
"think","i",1544
"looking","forward",1531
"she","is",1529
"love","the",1512
"if","the",1511
"did","not",1495
"no","one",1494
"been","a",1480
"having","a",1438
"my","favorite",1434
"people","who",1431
"who","is",1420
"how","much",1416
"couple","of",1409
"may","be",1407
"too","much",1407
"come","to",1405
"back","in",1402
"went","to",1401
"during","the",1387
"need","a",1379
"im","so",1378
"because","of",1373
"thanks","to",1360
"about","to",1355
"after","the",1355
"happy","birthday",1351
"those","who",1335
"was","in",1334
"instead","of",1326
"well","as",1324
"he","has",1318
"enough","to",1313
"had","been",1313
"them","to",1309
"decided","to",1308
"ready","for",1307
"then","i",1299
"might","be",1294
"time","for",1294
"my","own",1288
"looks","like",1286
"new","york",1274
"rest","of",1272
"good","morning",1264
"than","the",1259
"hard","to",1251
"its","the",1242
"from","my",1240
"know","how",1235
"listening","to",1229
"just","got",1227
"wish","i",1226
"can","you",1215
"all","i",1213
"does","not",1212
"must","be",1209
"dont","want",1201
"first","time",1194
"working","on",1194
"going","on",1192
"got","to",1185
"according","to",1183
"down","the",1178
"such","as",1172
"today","i",1162
"am","i",1155
"talking","about",1154
"lol","i",1152
"who","are",1145
"away","from",1143
"each","other",1133
"better","than",1131
"tell","me",1122
"will","have",1119
"makes","me",1117
"make","sure",1116
"say","that",1112
"needs","to",1104
"fact","that",1102
"day","i",1098
"before","the",1092
"can","do",1088
"years","ago",1087
"where","i",1074
"wants","to",1073
"or","a",1069
"tell","you",1066
"think","of",1064
"or","the",1043
"their","own",1043
"good","luck",1036
"mothers","day",1036
"life","is",1030
"last","year",1028
"theres","a",1028
"being","a",1023
"where","the",1023
"even","if",1019
"well","i",1013
"off","to",1008
"has","to",1006
"due","to",1004
"bit","of",1003
"number","of",995
"talk","about",995
"think","about",986
"how","many",984
"day","of",981
"listen","to",980
"down","to",978
"excited","to",976
"many","of",975
"before","i",974
"even","though",974
"seems","to",969
"your","own",969
"wait","for",967
"talk","to",959
"after","a",955
"told","me",947
"sort","of",946
"supposed","to",943
"will","not",941
"him","to",935
"under","the",935
"full","of",934
"gonna","be",934
"last","week",932
"should","have",931
"because","it",928
"than","a",923
"waiting","for",923
"good","to",922
"would","like",916
"here","in",914
"day","and",911
"us","to",908
"seem","to",907
"miss","you",906
"why","i",905
"front","of",896
"high","school",896
"yes","i",894
"rather","than",892
"people","are",890
"back","and",889
"live","in",889
"which","i",887
"next","week",885
"tried","to",883
"thats","a",873
"could","have",870
"since","i",870
"across","the",866
"chance","to",859
"one","day",858
"here","is",856
"got","the",847
"top","of",847
"thats","what",846
"look","like",842
"or","not",842
"made","it",841
"today","is",841
"based","on",840
"did","i",840
"your","life",836
"no","matter",834
"against","the",830
"am","not",830
"any","of",830
"she","has",830
"made","a",829
"now","that",828
"along","with",826
"them","and",822
"happy","to",815
"see","what",811
"only","one",806
"sure","to",806
"them","in",805
"every","day",800
"much","more",798
"may","have",797
"side","of",797
"interested","in",792
"looking","at",790
"while","i",789
"no","longer",785
"though","i",782
"social","media",779
"who","has",779
"find","a",775
"him","and",769
"take","the",766
"where","you",764
"just","as",762
"things","that",762
"made","me",760
"thinking","about",757
"find","out",756
"watching","the",753
"every","time",751
"order","to",750
"much","as",749
"close","to",745
"sounds","like",730
"now","and",724
"welcome","to",724
"amount","of",721
"said","the",720
"great","day",718
"less","than",718
"life","and",715
"between","the",714
"next","to",714
"piece","of",714
"come","on",713
"long","time",711
"sense","of",710
"until","the",710
"go","back",709
"today","and",709
"people","in",704
"an","hour",699
"lets","go",695
"wont","be",690
"coming","to",688
"hope","to",685
"tonight","at",681
"much","of",679
"comes","to",677
"thats","the",675
"here","i",674
"long","as",674
"next","time",674
"even","more",666
"nice","to",666
